"gutenberg_id" "text"
766 "<CHAPTER 1. I AM BORN>"
766 ""
766 ""
766 ""
766 "Whether I shall turn out to be the hero of my own life, or whether that"
766 "station will be held by anybody else, these pages must show. To begin my"
766 "life with the beginning of my life, I record that I was born (as I have"
766 "been informed and believe) on a Friday, at twelve o'clock at night."
766 "It was remarked that the clock began to strike, and I began to cry,"
766 "simultaneously."
766 ""
766 "In consideration of the day and hour of my birth, it was declared by"
766 "the nurse, and by some sage women in the neighbourhood who had taken a"
766 "lively interest in me several months before there was any possibility"
766 "of our becoming personally acquainted, first, that I was destined to be"
766 "unlucky in life; and secondly, that I was privileged to see ghosts and"
766 "spirits; both these gifts inevitably attaching, as they believed, to"
766 "all unlucky infants of either gender, born towards the small hours on a"
766 "Friday night."
766 ""
766 "I need say nothing here, on the first head, because nothing can show"
766 "better than my history whether that prediction was verified or falsified"
766 "by the result. On the second branch of the question, I will only remark,"
766 "that unless I ran through that part of my inheritance while I was still"
766 "a baby, I have not come into it yet. But I do not at all complain of"
766 "having been kept out of this property; and if anybody else should be in"
766 "the present enjoyment of it, he is heartily welcome to keep it."
766 ""
766 "I was born with a caul, which was advertised for sale, in the"
766 "newspapers, at the low price of fifteen guineas. Whether sea-going"
766 "people were short of money about that time, or were short of faith and"
766 "preferred cork jackets, I don't know; all I know is, that there was but"
766 "one solitary bidding, and that was from an attorney connected with the"
766 "bill-broking business, who offered two pounds in cash, and the balance"
766 "in sherry, but declined to be guaranteed from drowning on any higher"
766 "bargain. Consequently the advertisement was withdrawn at a dead"
766 "loss--for as to sherry, my poor dear mother's own sherry was in the"
766 "market then--and ten years afterwards, the caul was put up in a raffle"
766 "down in our part of the country, to fifty members at half-a-crown a"
766 "head, the winner to spend five shillings. I was present myself, and I"
766 "remember to have felt quite uncomfortable and confused, at a part of"
766 "myself being disposed of in that way. The caul was won, I recollect, by"
766 "an old lady with a hand-basket, who, very reluctantly, produced from it"
766 "the stipulated five shillings, all in halfpence, and twopence halfpenny"
766 "short--as it took an immense time and a great waste of arithmetic, to"
766 "endeavour without any effect to prove to her. It is a fact which will"
766 "be long remembered as remarkable down there, that she was never drowned,"
766 "but died triumphantly in bed, at ninety-two. I have understood that it"
766 "was, to the last, her proudest boast, that she never had been on the"
766 "water in her life, except upon a bridge; and that over her tea (to which"
766 "she was extremely partial) she, to the last, expressed her indignation"
766 "at the impiety of mariners and others, who had the presumption to go"
766 "'meandering' about the world. It was in vain to represent to her"
766 "that some conveniences, tea perhaps included, resulted from this"
766 "objectionable practice. She always returned, with greater emphasis and"
766 "with an instinctive knowledge of the strength of her objection, 'Let us"
766 "have no meandering.'"
766 ""
766 "Not to meander myself, at present, I will go back to my birth."
766 ""
766 "I was born at Blunderstone, in Suffolk, or 'there by', as they say in"
766 "Scotland. I was a posthumous child. My father's eyes had closed upon"
766 "the light of this world six months, when mine opened on it. There is"
766 "something strange to me, even now, in the reflection that he never saw"
766 "me; and something stranger yet in the shadowy remembrance that I have"
766 "of my first childish associations with his white grave-stone in the"
766 "churchyard, and of the indefinable compassion I used to feel for it"
766 "lying out alone there in the dark night, when our little parlour"
766 "was warm and bright with fire and candle, and the doors of our house"
766 "were--almost cruelly, it seemed to me sometimes--bolted and locked"
766 "against it."
766 ""
766 "An aunt of my father's, and consequently a great-aunt of mine, of whom"
766 "I shall have more to relate by and by, was the principal magnate of our"
766 "family. Miss Trotwood, or Miss Betsey, as my poor mother always called"
766 "her, when she sufficiently overcame her dread of this formidable"
766 "personage to mention her at all (which was seldom), had been married"
766 "to a husband younger than herself, who was very handsome, except in the"
766 "sense of the homely adage, 'handsome is, that handsome does'--for he"
766 "was strongly suspected of having beaten Miss Betsey, and even of having"
766 "once, on a disputed question of supplies, made some hasty but determined"
766 "arrangements to throw her out of a two pair of stairs' window. These"
766 "evidences of an incompatibility of temper induced Miss Betsey to pay him"
766 "off, and effect a separation by mutual consent. He went to India with"
766 "his capital, and there, according to a wild legend in our family, he was"
766 "once seen riding on an elephant, in company with a Baboon; but I think"
766 "it must have been a Baboo--or a Begum. Anyhow, from India tidings of his"
766 "death reached home, within ten years. How they affected my aunt, nobody"
766 "knew; for immediately upon the separation, she took her maiden name"
766 "again, bought a cottage in a hamlet on the sea-coast a long way off,"
766 "established herself there as a single woman with one servant, and"
766 "was understood to live secluded, ever afterwards, in an inflexible"
766 "retirement."
766 ""
766 "My father had once been a favourite of hers, I believe; but she was"
766 "mortally affronted by his marriage, on the ground that my mother was 'a"
766 "wax doll'. She had never seen my mother, but she knew her to be not"
766 "yet twenty. My father and Miss Betsey never met again. He was double"
766 "my mother's age when he married, and of but a delicate constitution. He"
766 "died a year afterwards, and, as I have said, six months before I came"
766 "into the world."
766 ""
766 "This was the state of matters, on the afternoon of, what I may be"
766 "excused for calling, that eventful and important Friday. I can make no"
766 "claim therefore to have known, at that time, how matters stood; or to"
766 "have any remembrance, founded on the evidence of my own senses, of what"
766 "follows."
766 ""
766 "My mother was sitting by the fire, but poorly in health, and very low in"
766 "spirits, looking at it through her tears, and desponding heavily about"
766 "herself and the fatherless little stranger, who was already welcomed by"
766 "some grosses of prophetic pins, in a drawer upstairs, to a world not at"
766 "all excited on the subject of his arrival; my mother, I say, was sitting"
766 "by the fire, that bright, windy March afternoon, very timid and sad, and"
766 "very doubtful of ever coming alive out of the trial that was before her,"
766 "when, lifting her eyes as she dried them, to the window opposite, she"
766 "saw a strange lady coming up the garden."
766 ""
